2026-05-19 21:22:04,226 [INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-19 21:22:04,227 [INFO] apscheduler.scheduler: Added job "check_and_send_reminders" to job store "default"
2026-05-19 21:22:04,227 [INFO] apscheduler.scheduler: Scheduler started
2026-05-19 21:22:04,227 [INFO] bot.scheduler: Scheduler started — checking reminders every 30 seconds.
2026-05-19 21:22:04,227 [INFO] __main__: Bot is starting in polling mode...
2026-05-19 21:30:04,229 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:30:34 +05)" (scheduled at 2026-05-19 21:30:04.226524+05:00)
2026-05-19 21:30:04,233 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:30:34 +05)" executed successfully
2026-05-19 21:30:34,230 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:31:04 +05)" (scheduled at 2026-05-19 21:30:34.226524+05:00)
2026-05-19 21:30:34,234 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:31:04 +05)" executed successfully
2026-05-19 21:31:04,230 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:31:34 +05)" (scheduled at 2026-05-19 21:31:04.226524+05:00)
2026-05-19 21:31:04,233 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:31:34 +05)" executed successfully
2026-05-19 21:31:34,232 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:32:04 +05)" (scheduled at 2026-05-19 21:31:34.226524+05:00)
2026-05-19 21:31:34,244 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:32:04 +05)" executed successfully
2026-05-19 21:32:04,232 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:32:34 +05)" (scheduled at 2026-05-19 21:32:04.226524+05:00)
2026-05-19 21:32:04,239 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:32:34 +05)" executed successfully
2026-05-19 21:32:34,231 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:33:04 +05)" (scheduled at 2026-05-19 21:32:34.226524+05:00)
2026-05-19 21:32:34,233 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-19 21:33:04 +05)" executed successfully
2026-05-20 01:55:15,691 [INFO] apscheduler.scheduler: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-20 01:55:15,692 [INFO] apscheduler.scheduler: Added job "check_and_send_reminders" to job store "default"
2026-05-20 01:55:15,692 [INFO] apscheduler.scheduler: Scheduler started
2026-05-20 01:55:15,693 [INFO] bot.scheduler: Scheduler started — checking reminders every 30 seconds.
2026-05-20 01:55:15,693 [INFO] __main__: Bot is starting in polling mode...
2026-05-20 01:55:45,704 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:56:15 +05)" (scheduled at 2026-05-20 01:55:45.691567+05:00)
2026-05-20 01:55:45,709 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:56:15 +05)" executed successfully
2026-05-20 01:56:15,705 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:56:45 +05)" (scheduled at 2026-05-20 01:56:15.691567+05:00)
2026-05-20 01:56:15,707 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:56:45 +05)" executed successfully
2026-05-20 01:56:45,699 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:57:15 +05)" (scheduled at 2026-05-20 01:56:45.691567+05:00)
2026-05-20 01:56:45,701 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:57:15 +05)" executed successfully
2026-05-20 01:57:15,702 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:57:45 +05)" (scheduled at 2026-05-20 01:57:15.691567+05:00)
2026-05-20 01:57:15,703 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:57:45 +05)" executed successfully
2026-05-20 01:57:45,699 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:58:15 +05)" (scheduled at 2026-05-20 01:57:45.691567+05:00)
2026-05-20 01:57:45,700 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:58:15 +05)" executed successfully
2026-05-20 01:58:15,693 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:58:45 +05)" (scheduled at 2026-05-20 01:58:15.691567+05:00)
2026-05-20 01:58:15,694 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:58:45 +05)" executed successfully
2026-05-20 01:58:45,698 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:59:15 +05)" (scheduled at 2026-05-20 01:58:45.691567+05:00)
2026-05-20 01:58:45,699 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:59:15 +05)" executed successfully
2026-05-20 01:59:15,706 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:59:45 +05)" (scheduled at 2026-05-20 01:59:15.691567+05:00)
2026-05-20 01:59:15,707 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 01:59:45 +05)" executed successfully
2026-05-20 01:59:45,699 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:00:15 +05)" (scheduled at 2026-05-20 01:59:45.691567+05:00)
2026-05-20 01:59:45,700 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:00:15 +05)" executed successfully
2026-05-20 02:00:15,706 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:00:45 +05)" (scheduled at 2026-05-20 02:00:15.691567+05:00)
2026-05-20 02:00:15,707 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:00:45 +05)" executed successfully
2026-05-20 02:00:45,702 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:01:15 +05)" (scheduled at 2026-05-20 02:00:45.691567+05:00)
2026-05-20 02:00:45,703 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:01:15 +05)" executed successfully
2026-05-20 02:01:15,702 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:01:45 +05)" (scheduled at 2026-05-20 02:01:15.691567+05:00)
2026-05-20 02:01:15,704 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:01:45 +05)" executed successfully
2026-05-20 02:01:45,707 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:02:15 +05)" (scheduled at 2026-05-20 02:01:45.691567+05:00)
2026-05-20 02:01:45,710 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:02:15 +05)" executed successfully
2026-05-20 02:02:15,695 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:02:45 +05)" (scheduled at 2026-05-20 02:02:15.691567+05:00)
2026-05-20 02:02:15,696 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:02:45 +05)" executed successfully
2026-05-20 02:02:45,705 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:03:15 +05)" (scheduled at 2026-05-20 02:02:45.691567+05:00)
2026-05-20 02:02:45,707 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:03:15 +05)" executed successfully
2026-05-20 02:03:15,699 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:03:45 +05)" (scheduled at 2026-05-20 02:03:15.691567+05:00)
2026-05-20 02:03:15,700 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:03:45 +05)" executed successfully
2026-05-20 02:03:45,704 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:04:15 +05)" (scheduled at 2026-05-20 02:03:45.691567+05:00)
2026-05-20 02:03:45,705 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:04:15 +05)" executed successfully
2026-05-20 02:04:15,701 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:04:45 +05)" (scheduled at 2026-05-20 02:04:15.691567+05:00)
2026-05-20 02:04:15,702 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:04:45 +05)" executed successfully
2026-05-20 02:04:45,699 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:05:15 +05)" (scheduled at 2026-05-20 02:04:45.691567+05:00)
2026-05-20 02:04:45,700 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:05:15 +05)" executed successfully
2026-05-20 02:05:15,697 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:05:45 +05)" (scheduled at 2026-05-20 02:05:15.691567+05:00)
2026-05-20 02:05:15,698 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:05:45 +05)" executed successfully
2026-05-20 02:05:45,700 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:06:15 +05)" (scheduled at 2026-05-20 02:05:45.691567+05:00)
2026-05-20 02:05:45,701 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:06:15 +05)" executed successfully
2026-05-20 02:06:15,697 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:06:45 +05)" (scheduled at 2026-05-20 02:06:15.691567+05:00)
2026-05-20 02:06:15,698 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:06:45 +05)" executed successfully
2026-05-20 02:06:45,702 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:07:15 +05)" (scheduled at 2026-05-20 02:06:45.691567+05:00)
2026-05-20 02:06:45,703 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:07:15 +05)" executed successfully
2026-05-20 02:07:15,707 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:07:45 +05)" (scheduled at 2026-05-20 02:07:15.691567+05:00)
2026-05-20 02:07:15,708 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:07:45 +05)" executed successfully
2026-05-20 02:07:45,697 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:08:15 +05)" (scheduled at 2026-05-20 02:07:45.691567+05:00)
2026-05-20 02:07:45,698 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:08:15 +05)" executed successfully
2026-05-20 02:08:15,692 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:08:45 +05)" (scheduled at 2026-05-20 02:08:15.691567+05:00)
2026-05-20 02:08:15,693 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:08:45 +05)" executed successfully
2026-05-20 02:08:45,707 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:09:15 +05)" (scheduled at 2026-05-20 02:08:45.691567+05:00)
2026-05-20 02:08:45,709 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:09:15 +05)" executed successfully
2026-05-20 02:09:15,703 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:09:45 +05)" (scheduled at 2026-05-20 02:09:15.691567+05:00)
2026-05-20 02:09:15,704 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:09:45 +05)" executed successfully
2026-05-20 02:09:45,719 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:10:15 +05)" (scheduled at 2026-05-20 02:09:45.691567+05:00)
2026-05-20 02:09:45,722 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:10:15 +05)" executed successfully
2026-05-20 02:10:15,697 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:10:45 +05)" (scheduled at 2026-05-20 02:10:15.691567+05:00)
2026-05-20 02:10:15,698 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:10:45 +05)" executed successfully
2026-05-20 02:10:45,707 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:11:15 +05)" (scheduled at 2026-05-20 02:10:45.691567+05:00)
2026-05-20 02:10:45,708 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:11:15 +05)" executed successfully
2026-05-20 02:11:15,702 [INFO] apscheduler.executors.default: Running job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:11:45 +05)" (scheduled at 2026-05-20 02:11:15.691567+05:00)
2026-05-20 02:11:15,704 [INFO] apscheduler.executors.default: Job "check_and_send_reminders (trigger: interval[0:00:30], next run at: 2026-05-20 02:11:45 +05)" executed successfully
